supplier_id,supplier_name,city,lead_time_days,rating
SUP_116,Royal Logistics,Pune,9,2.4
SUP_117,Royal Products,Delhi,12,4
SUP_118,Royal Retail Links,Chennai,11,1.1
SUP_119,Royal Supplies,Gurgaon,6,1.5
SUP_120,Royal Traders,Kolkata,13,1.2
SUP_121,Secure Essentials,Gurgaon,3,1.2
SUP_122,Secure Merchants,Kolkata,4,4.4
SUP_123,Secure Partners,Noida,12,3.8
SUP_124,Secure Supplies,Lucknow,11,2.9
SUP_125,Shree Agro,Kolkata,4,
SUP_126,Shree Distributors,Gurgaon,3,3
SUP_127,Shree Essentials,Noida,10,2.9
SUP_128,Shree Products,Delhi,3,1.7
SUP_129,Shree Wholesale,Pune,3,
SUP_130,Smart Consumer Goods,Pune,4,2.6
SUP_131,Smart Distributors,Pune,7,3.5
SUP_132,Smart Essentials,Kolkata,4,3.5
SUP_133,Smart Foods,Delhi,9,1.2
SUP_134,Smart Merchants,Kolkata,1,2.5
SUP_135,Smart Retail Links,Lucknow,8,3.5
SUP_136,Smart Supplies,Kolkata,7,3
SUP_137,Smart Traders,Delhi,2,4.4
SUP_138,Speed Consumer Goods,Delhi,8,3.6
SUP_139,Speed Distributors,Lucknow,1,1.7
SUP_140,Speed Enterprises,Delhi,11,1.3
SUP_141,Speed Foods,Gurgaon,12,3.6
SUP_142,Speed Partners,Delhi,9,1.1
SUP_143,Speed Retail Links,Pune,9,3.3
SUP_144,Speed Supplies,Gurgaon,2,4.8
SUP_145,Speed Traders,Gurgaon,7,3.3
SUP_146,Speed Wholesale,Lucknow,14,2.6
SUP_147,Star Agro,Mumbai,10,3.6
SUP_148,Star Brands,Mumbai,3,
SUP_149,Star Enterprises,Delhi,7,3.2
SUP_150,Star Essentials,Gurgaon,12,4.8
SUP_151,Star Logistics,Mumbai,10,2.5
SUP_152,Star Merchants,Mumbai,9,4.8
SUP_153,Star Traders,Delhi,4,4.6
SUP_154,Star Wholesale,Mumbai,12,1.8
SUP_155,Sunrise Brands,Kolkata,1,1.3
SUP_156,Sunrise Distributors,Noida,2,1.4
SUP_157,Sunrise Enterprises,Lucknow,1,1.1
SUP_158,Sunrise Logistics,Noida,14,1.4
SUP_159,Sunrise Merchants,Delhi,12,3.7
SUP_160,Sunrise Retail Links,Pune,5,
SUP_161,Sunrise Traders,Lucknow,5,2.3
SUP_162,Sunrise Wholesale,Delhi,11,4.4
SUP_163,Swift Brands,Gurgaon,7,1.1
SUP_164,Swift Distributors,Pune,9,4.3
SUP_165,Swift Essentials,Noida,9,2.1
SUP_166,Swift Logistics,Delhi,3,1.5
SUP_167,Swift Traders,Gurgaon,3,3.8
SUP_168,Unity Agro,Lucknow,3,3.5
SUP_169,Unity Brands,Lucknow,4,4.5
SUP_170,Unity Essentials,Chennai,8,3.9
SUP_171,Unity Foods,Gurgaon,6,
SUP_172,Unity Supplies,Kolkata,8,2.1
SUP_173,Urban Agro,Mumbai,1,1.7
SUP_174,Urban Brands,Pune,8,4
SUP_175,Urban Essentials,Gurgaon,4,4.2
SUP_176,Urban Foods,Chennai,11,5
SUP_177,Urban Logistics,Mumbai,1,2.7
SUP_178,Urban Products,Mumbai,8,2.5
SUP_179,Urban Traders,Delhi,4,4.1
SUP_180,Value Agro,Mumbai,6,2.4
SUP_181,Value Consumer Goods,Kolkata,8,4.7
SUP_182,Value Essentials,Lucknow,4,4.4
SUP_183,Value Foods,Chennai,14,2.7
SUP_184,Value Traders,Mumbai,3,4
SUP_185,Value Wholesale,Delhi,14,4
SUP_186,Zen Agro,Kolkata,9,1.4
SUP_187,Zen Brands,Noida,3,4.6
SUP_188,Zen Enterprises,Lucknow,9,3
SUP_189,Zen Products,Lucknow,13,4.3
SUP_190,Zen Retail Links,Chennai,2,2.3
SUP_191,Zen Traders,Lucknow,14,4.6
SUP_192,Zen Wholesale,Mumbai,2,2.6
SUP_193,Zest Agro,Delhi,2,1
SUP_194,Zest Brands,Lucknow,6,4.6
SUP_195,Zest Consumer Goods,Lucknow,3,1.4
SUP_196,Zest Distributors,Noida,13,2.3
SUP_197,Zest Foods,Noida,9,4.8
SUP_198,Zest Merchants,Pune,4,4.8
SUP_199,Zest Retail Links,Kolkata,1,3.3
SUP_200,Zest Traders,Mumbai,4,3.5
