inventory_id,product_id,warehouse_id,stock_in_hand,damaged_units,last_updated
INV_00040,PRD_0922,WH_080,21,3.0,
INV_00041,PRD_0500,WH_018,101,30.0,2024-02-15
INV_00042,PRD_1666,WH_071,67,21.0,
INV_00043,PRD_1863,WH_059,30,13.0,2024-10-23
INV_00044,PRD_0067,WH_038,54,13.0,2024-09-09
INV_00045,PRD_4892,WH_044,299,13.0,2024-06-07
INV_00046,PRD_4155,WH_051,32,25.0,2025-08-06
INV_00047,PRD_3321,WH_068,148,17.0,2025-06-23
INV_00048,PRD_2079,WH_039,6,2.0,2024-05-24
INV_00049,PRD_0140,WH_066,359,,2024-07-16
INV_00050,PRD_1173,WH_068,139,3.0,2025-01-02
INV_00051,PRD_4626,WH_053,126,3.0,
INV_00052,PRD_2737,WH_074,338,27.0,2024-02-19
INV_00053,PRD_3556,WH_012,109,4.0,2024-07-08
INV_00054,PRD_2631,WH_021,0,0.0,2024-11-19
INV_00055,PRD_1529,WH_074,11,3.0,2024-04-18
INV_00056,PRD_3677,WH_080,50,25.0,
INV_00057,PRD_0874,WH_074,74,7.0,2024-01-19
INV_00058,PRD_0647,WH_028,205,27.0,2024-11-10
INV_00059,PRD_2211,WH_011,108,11.0,2025-01-01
INV_00060,PRD_4324,WH_053,8,1.0,2024-09-25
INV_00061,PRD_1773,WH_071,2,2.0,2025-06-23
INV_00062,PRD_2276,WH_061,278,18.0,2025-03-12
INV_00063,PRD_4840,WH_042,251,1.0,2024-12-05
INV_00064,PRD_3753,WH_027,184,26.0,2025-06-25
INV_00065,PRD_2364,WH_033,73,20.0,2025-04-09
INV_00066,PRD_4779,WH_046,12,9.0,2024-05-01
INV_00067,PRD_0761,WH_009,35,15.0,2024-05-05
INV_00068,PRD_0777,WH_011,89,17.0,2024-06-21
INV_00069,PRD_4427,WH_070,42,27.0,2025-08-22
INV_00070,PRD_0356,WH_078,190,,2025-11-19
INV_00071,PRD_3828,WH_046,25,12.0,2024-11-20
INV_00072,PRD_4918,WH_008,26,15.0,
INV_00073,PRD_2384,WH_016,78,7.0,2024-01-01
INV_00074,PRD_2424,WH_048,29,20.0,
INV_00075,PRD_2898,WH_056,82,9.0,2024-03-08
INV_00076,PRD_0411,WH_080,91,3.0,
INV_00077,PRD_0624,WH_039,0,,2025-08-04
INV_00078,PRD_3589,WH_011,197,,2024-04-13
INV_00079,PRD_3252,WH_051,17,15.0,2025-12-25
INV_00080,PRD_3780,WH_063,113,2.0,2025-04-24
INV_00081,PRD_2668,WH_080,85,8.0,2025-01-13
INV_00082,PRD_4303,WH_023,26,1.0,2024-10-23
INV_00083,PRD_2047,WH_027,194,23.0,2024-10-14
INV_00084,PRD_3304,WH_067,52,30.0,2024-10-07
INV_00085,PRD_0370,WH_018,181,23.0,2024-03-13
INV_00086,PRD_4614,WH_012,93,16.0,2024-03-26
INV_00087,PRD_0571,WH_025,212,5.0,2025-09-25
INV_00088,PRD_3769,WH_051,96,10.0,2025-02-09
INV_00089,PRD_2604,WH_030,18,,
INV_00090,PRD_0343,WH_037,176,11.0,2025-11-27
INV_00091,PRD_0201,WH_012,122,4.0,
INV_00092,PRD_0379,WH_006,0,0.0,2025-09-14
INV_00093,PRD_1483,WH_062,0,0.0,
INV_00094,PRD_3184,WH_038,171,11.0,
INV_00095,PRD_2553,WH_028,72,8.0,2024-02-13
INV_00096,PRD_1378,WH_077,87,21.0,2025-10-08
INV_00097,PRD_0255,WH_026,423,20.0,2024-08-01
INV_00098,PRD_1216,WH_037,0,0.0,2025-10-13
INV_00099,PRD_0924,WH_077,114,27.0,2025-07-16
INV_00100,PRD_4572,WH_035,150,27.0,2025-01-09
INV_00101,PRD_2757,WH_044,12,5.0,2024-04-26
INV_00102,PRD_2379,WH_048,12,5.0,2025-12-09
INV_00103,PRD_0323,WH_047,52,4.0,2024-03-02
INV_00104,PRD_3902,WH_021,8,8.0,2025-10-11
INV_00105,PRD_4541,WH_035,18,13.0,2024-11-09
INV_00106,PRD_4151,WH_013,4,1.0,2024-01-21
INV_00107,PRD_0539,WH_001,1,1.0,2024-01-14
INV_00108,PRD_4422,WH_065,92,10.0,2024-07-02
INV_00109,PRD_0369,WH_027,143,7.0,2025-04-25
INV_00110,PRD_3913,WH_002,44,7.0,2024-10-19
INV_00111,PRD_2979,WH_024,84,19.0,2025-09-09
INV_00112,PRD_1314,WH_039,163,27.0,
INV_00113,PRD_3176,WH_071,146,7.0,2025-10-23
INV_00114,PRD_2168,WH_027,0,0.0,2025-04-06
INV_00115,PRD_1506,WH_080,147,,2024-05-21
INV_00116,PRD_2395,WH_070,214,5.0,2024-01-25
INV_00117,PRD_0814,WH_053,64,21.0,
INV_00118,PRD_2002,WH_060,34,25.0,2024-10-03
INV_00119,PRD_1712,WH_031,34,27.0,2025-06-07
INV_00120,PRD_0457,WH_001,93,16.0,2025-07-20
INV_00121,PRD_3476,WH_027,70,8.0,2025-12-26
INV_00122,PRD_2289,WH_030,4,1.0,2025-05-19
INV_00123,PRD_0285,WH_053,248,17.0,2024-09-01
INV_00124,PRD_3455,WH_012,32,4.0,2025-06-22
INV_00125,PRD_3472,WH_051,141,19.0,2024-01-19
INV_00126,PRD_3523,WH_046,123,30.0,2025-12-27
INV_00127,PRD_2709,WH_038,21,9.0,2024-05-18
INV_00128,PRD_2026,WH_027,124,3.0,
INV_00129,PRD_3288,WH_033,160,7.0,
INV_00130,PRD_0075,WH_069,269,8.0,2024-04-17
INV_00131,PRD_1770,WH_011,0,0.0,2025-07-26
INV_00132,PRD_2173,WH_026,212,2.0,2025-05-19
INV_00133,PRD_0630,WH_061,248,4.0,2025-10-06
INV_00134,PRD_3505,WH_064,78,23.0,2025-09-19
INV_00135,PRD_4037,WH_076,91,30.0,2025-06-02
INV_00136,PRD_3708,WH_024,47,10.0,
INV_00137,PRD_2458,WH_058,201,29.0,
INV_00138,PRD_3007,WH_006,139,5.0,2025-08-05
INV_00139,PRD_0638,WH_064,95,,2025-11-04
INV_00140,PRD_4853,WH_074,36,8.0,2025-08-02
INV_00141,PRD_4385,WH_073,106,14.0,2024-12-12
INV_00142,PRD_2170,WH_039,142,16.0,2025-10-01
INV_00143,PRD_3337,WH_060,43,15.0,2024-09-02
INV_00144,PRD_2252,WH_007,278,29.0,2025-04-07
INV_00145,PRD_3463,WH_047,52,,2025-03-23
INV_00146,PRD_3143,WH_079,48,,2024-10-05
INV_00147,PRD_4784,WH_067,134,22.0,2024-12-19
INV_00148,PRD_1620,WH_062,97,29.0,2024-08-21
INV_00149,PRD_4893,WH_027,78,18.0,
INV_00150,PRD_1996,WH_071,36,25.0,2024-11-04
INV_00151,PRD_4708,WH_039,69,8.0,2025-02-23
INV_00152,PRD_0764,WH_019,161,22.0,2024-04-14
INV_00153,PRD_3012,WH_053,61,21.0,2024-02-27
INV_00154,PRD_3016,WH_045,175,,2025-12-05
INV_00155,PRD_1110,WH_038,41,,2025-04-16
INV_00156,PRD_0098,WH_029,2,,2025-08-24
INV_00157,PRD_3373,WH_060,0,0.0,2025-11-01
INV_00158,PRD_0038,WH_076,15,15.0,2025-04-18
INV_00159,PRD_1303,WH_026,106,,2024-04-20
INV_00160,PRD_2244,WH_002,228,9.0,2024-01-02
INV_00161,PRD_1993,WH_020,107,21.0,2025-03-17
INV_00162,PRD_2286,WH_021,60,29.0,2025-04-10
INV_00163,PRD_4301,WH_054,18,9.0,2025-06-06
INV_00164,PRD_4692,WH_034,7,3.0,2024-12-17
INV_00165,PRD_4747,WH_010,18,13.0,2024-02-21
INV_00166,PRD_4651,WH_078,56,10.0,2025-06-03
INV_00167,PRD_1118,WH_071,124,0.0,2024-04-08
INV_00168,PRD_3317,WH_062,51,25.0,2024-10-05
INV_00169,PRD_0938,WH_077,247,30.0,2024-11-21
INV_00170,PRD_4358,WH_003,101,4.0,2025-02-26
INV_00171,PRD_1420,WH_028,21,13.0,2024-11-24
INV_00172,PRD_2794,WH_080,0,0.0,2025-04-02
INV_00173,PRD_2513,WH_058,163,,2024-04-11
INV_00174,PRD_2272,WH_023,111,9.0,2024-06-15
INV_00175,PRD_1489,WH_059,31,21.0,2024-06-01
INV_00176,PRD_0279,WH_048,192,27.0,2025-08-20
INV_00177,PRD_4029,WH_036,48,20.0,
INV_00178,PRD_1050,WH_072,189,21.0,2025-04-22
INV_00179,PRD_3288,WH_045,295,27.0,2025-11-15
INV_00180,PRD_0070,WH_078,154,17.0,2025-08-17
INV_00181,PRD_3079,WH_079,70,,2025-10-26
INV_00182,PRD_2468,WH_028,225,17.0,2024-06-01
INV_00183,PRD_1471,WH_014,101,26.0,2025-09-15
INV_00184,PRD_3679,WH_005,306,30.0,2025-09-17
INV_00185,PRD_3616,WH_003,452,17.0,2025-04-09
INV_00186,PRD_4019,WH_016,46,2.0,
INV_00187,PRD_0305,WH_013,106,11.0,2024-09-05
INV_00188,PRD_4779,WH_006,33,17.0,2024-12-13
INV_00189,PRD_3866,WH_030,63,12.0,2024-10-10
INV_00190,PRD_4143,WH_007,226,6.0,2025-06-05
INV_00191,PRD_1600,WH_016,20,6.0,2025-10-10
INV_00192,PRD_4203,WH_061,151,24.0,2024-08-13
INV_00193,PRD_0144,WH_060,229,27.0,2025-06-20
INV_00194,PRD_3270,WH_013,134,18.0,
INV_00195,PRD_2753,WH_069,59,1.0,2024-04-05
INV_00196,PRD_1586,WH_072,15,10.0,2025-01-02
INV_00197,PRD_4731,WH_079,186,23.0,2025-04-03
INV_00198,PRD_1439,WH_005,55,2.0,2025-05-12
INV_00199,PRD_0686,WH_064,216,7.0,2024-08-12
INV_00200,PRD_4476,WH_053,44,18.0,2025-12-07
INV_00201,PRD_3954,WH_066,69,6.0,2025-02-24
INV_00202,PRD_3299,WH_059,203,25.0,2024-04-23
INV_00203,PRD_2767,WH_036,67,16.0,2025-03-27
INV_00204,PRD_1783,WH_007,6,1.0,2025-03-06
INV_00205,PRD_2482,WH_049,11,3.0,2024-04-10
INV_00206,PRD_0501,WH_004,81,15.0,2024-02-14
INV_00207,PRD_2813,WH_018,199,26.0,2025-04-27
INV_00208,PRD_4387,WH_039,23,20.0,2025-07-26
INV_00209,PRD_1198,WH_074,0,0.0,2024-08-25
INV_00210,PRD_0181,WH_038,133,9.0,2024-12-03
INV_00211,PRD_0462,WH_032,85,24.0,2025-10-07
INV_00212,PRD_3295,WH_049,16,10.0,2025-04-21
INV_00213,PRD_4600,WH_049,202,12.0,
INV_00214,PRD_2745,WH_012,38,17.0,2024-12-18
INV_00215,PRD_1915,WH_013,63,11.0,2024-06-04
INV_00216,PRD_2799,WH_050,84,14.0,2024-03-07
INV_00217,PRD_2657,WH_059,38,14.0,2024-06-08
INV_00218,PRD_0337,WH_008,65,25.0,2024-07-24
INV_00219,PRD_4496,WH_067,43,,2024-12-12
INV_00220,PRD_4749,WH_075,97,,2025-12-16
INV_00221,PRD_3663,WH_061,0,0.0,2025-03-16
INV_00222,PRD_4136,WH_009,4,4.0,
INV_00223,PRD_2980,WH_035,97,16.0,2024-10-12
INV_00224,PRD_1465,WH_062,107,6.0,2025-03-15
INV_00225,PRD_4411,WH_060,150,28.0,2024-10-25
INV_00226,PRD_0630,WH_039,392,21.0,2025-04-10
INV_00227,PRD_0716,WH_046,147,22.0,2024-02-09
INV_00228,PRD_1625,WH_038,78,24.0,2024-09-10
INV_00229,PRD_1232,WH_063,5,4.0,2024-03-10
INV_00230,PRD_2230,WH_075,8,7.0,2024-11-22
INV_00231,PRD_2549,WH_050,122,10.0,2025-10-27
INV_00232,PRD_0412,WH_061,0,0.0,2024-06-01
INV_00233,PRD_3118,WH_078,14,1.0,2025-11-08
INV_00234,PRD_3651,WH_006,22,2.0,2025-02-16
INV_00235,PRD_3738,WH_034,73,0.0,2025-10-06
INV_00236,PRD_0909,WH_020,58,24.0,2025-11-14
INV_00237,PRD_3037,WH_039,37,8.0,2024-09-14
INV_00238,PRD_1203,WH_003,86,15.0,2024-07-10
INV_00239,PRD_0833,WH_022,322,5.0,
INV_00240,PRD_1037,WH_050,283,13.0,2025-11-09
INV_00241,PRD_1494,WH_031,82,,2024-01-21
INV_00242,PRD_0354,WH_050,269,27.0,
INV_00243,PRD_0858,WH_010,0,0.0,2024-09-16
INV_00244,PRD_0579,WH_078,113,3.0,2025-03-13
INV_00245,PRD_0017,WH_048,259,28.0,2024-05-26
INV_00246,PRD_3823,WH_024,91,22.0,2024-06-22
INV_00247,PRD_0589,WH_037,155,,2024-09-17
INV_00248,PRD_0386,WH_059,155,12.0,2025-11-10
INV_00249,PRD_3127,WH_056,18,5.0,2025-01-17
INV_00250,PRD_3429,WH_019,282,11.0,2025-03-06
INV_00251,PRD_2470,WH_014,218,27.0,2025-12-09
INV_00252,PRD_2128,WH_019,253,,2025-09-21
INV_00253,PRD_3091,WH_009,87,22.0,2024-03-12
INV_00254,PRD_4593,WH_047,43,,2024-06-04
INV_00255,PRD_4595,WH_003,126,1.0,2024-10-03
INV_00256,PRD_4381,WH_029,124,30.0,2025-04-22
INV_00257,PRD_3835,WH_043,0,0.0,2024-01-18
INV_00258,PRD_4009,WH_075,101,22.0,2025-11-25
INV_00259,PRD_0282,WH_019,245,20.0,2025-10-25
INV_00260,PRD_2112,WH_039,93,24.0,2025-12-20
INV_00261,PRD_4030,WH_074,36,15.0,2024-01-23
INV_00262,PRD_2280,WH_079,61,30.0,2024-08-27
INV_00263,PRD_2692,WH_001,0,0.0,2024-02-08
INV_00264,PRD_3847,WH_072,158,6.0,2025-09-04
INV_00265,PRD_2345,WH_010,43,8.0,2025-03-11
INV_00266,PRD_1401,WH_024,207,25.0,2025-10-19
INV_00267,PRD_2784,WH_009,153,10.0,2025-02-27
INV_00268,PRD_1846,WH_074,0,0.0,2025-02-10
INV_00269,PRD_4106,WH_074,43,14.0,2025-12-11
INV_00270,PRD_0520,WH_006,67,17.0,2025-01-15
INV_00271,PRD_1997,WH_007,115,26.0,2025-07-06
INV_00272,PRD_4799,WH_020,63,1.0,2025-02-08
INV_00273,PRD_4719,WH_037,7,0.0,2025-11-20
INV_00274,PRD_2778,WH_004,121,,2025-01-11
INV_00275,PRD_0641,WH_064,249,19.0,
INV_00276,PRD_0528,WH_038,120,9.0,2025-03-08
INV_00277,PRD_3654,WH_055,196,21.0,2025-09-24
INV_00278,PRD_4930,WH_010,107,30.0,2025-01-14
INV_00279,PRD_4592,WH_005,112,,2025-09-03
INV_00280,PRD_1889,WH_028,351,0.0,2025-03-01
INV_00281,PRD_4510,WH_066,166,,2025-12-10
INV_00282,PRD_4565,WH_062,16,15.0,2025-11-12
INV_00283,PRD_2188,WH_055,120,3.0,2025-03-09
INV_00284,PRD_3042,WH_011,82,18.0,2024-04-06
INV_00285,PRD_0224,WH_029,140,15.0,2024-06-04
INV_00286,PRD_2969,WH_031,56,30.0,2025-12-05
INV_00287,PRD_2021,WH_009,106,5.0,2025-09-02
INV_00288,PRD_2672,WH_038,31,21.0,2024-12-20
INV_00289,PRD_2797,WH_080,99,11.0,2024-11-22
INV_00290,PRD_4585,WH_042,130,16.0,2024-04-13
INV_00291,PRD_4340,WH_018,13,9.0,2024-02-18
INV_00292,PRD_0022,WH_075,2,2.0,2024-11-04
INV_00293,PRD_2019,WH_052,100,21.0,2024-09-11
INV_00294,PRD_4189,WH_060,270,15.0,2025-12-13
INV_00295,PRD_0991,WH_050,229,26.0,
INV_00296,PRD_1371,WH_076,168,18.0,2024-11-10
INV_00297,PRD_3055,WH_075,89,14.0,
INV_00298,PRD_3007,WH_022,171,,2025-03-09
INV_00299,PRD_4737,WH_022,47,5.0,2025-08-14
INV_00300,PRD_2171,WH_033,69,16.0,2025-07-09
INV_00301,PRD_1766,WH_077,134,17.0,2025-02-10
INV_00302,PRD_0068,WH_007,1,0.0,2025-03-02
INV_00303,PRD_4023,WH_022,150,3.0,2024-03-09
INV_00304,PRD_2933,WH_078,44,27.0,2025-07-15
INV_00305,PRD_0386,WH_044,242,18.0,
INV_00306,PRD_1831,WH_044,3,,2024-07-26
INV_00307,PRD_1846,WH_025,203,17.0,2025-06-09
INV_00308,PRD_4545,WH_016,35,16.0,2025-12-04
INV_00309,PRD_2539,WH_071,280,15.0,2024-08-10
INV_00310,PRD_2850,WH_052,58,,2024-07-10
INV_00311,PRD_0966,WH_050,144,22.0,2025-02-09
INV_00312,PRD_4440,WH_072,122,10.0,2024-01-04
INV_00313,PRD_0399,WH_029,233,13.0,2025-09-13
INV_00314,PRD_4116,WH_043,0,0.0,2025-12-16
INV_00315,PRD_2075,WH_023,36,18.0,2025-02-06
INV_00316,PRD_3726,WH_033,40,19.0,2024-10-06
INV_00317,PRD_4617,WH_057,0,0.0,2024-05-12
INV_00318,PRD_3669,WH_080,9,8.0,2024-03-17
INV_00319,PRD_0652,WH_038,106,,2025-03-14
INV_00320,PRD_4417,WH_048,234,21.0,2025-05-12
INV_00321,PRD_2727,WH_055,206,1.0,2025-12-21
INV_00322,PRD_2202,WH_007,123,,2025-10-20
INV_00323,PRD_1774,WH_013,15,3.0,2025-04-11
INV_00324,PRD_0604,WH_017,217,8.0,2024-03-23
INV_00325,PRD_4861,WH_068,14,14.0,2025-09-02
INV_00326,PRD_3227,WH_044,124,25.0,
INV_00327,PRD_0998,WH_002,5,1.0,2025-07-13
INV_00328,PRD_3454,WH_052,16,7.0,2025-01-17
INV_00329,PRD_2140,WH_046,59,0.0,2024-10-24
INV_00330,PRD_0210,WH_078,47,1.0,2024-07-25
INV_00331,PRD_2076,WH_059,33,16.0,2024-10-06
INV_00332,PRD_2706,WH_047,37,29.0,2025-02-24
INV_00333,PRD_4734,WH_064,17,6.0,2024-03-07
INV_00334,PRD_4134,WH_035,23,6.0,2025-12-15
INV_00335,PRD_3592,WH_068,31,10.0,2025-03-19
INV_00336,PRD_3317,WH_078,183,27.0,2025-09-26
INV_00337,PRD_1243,WH_066,376,15.0,2024-12-07
INV_00338,PRD_0102,WH_061,257,19.0,2024-11-17
INV_00339,PRD_2078,WH_049,211,15.0,2024-12-02
INV_00340,PRD_2515,WH_028,59,6.0,2025-10-05
INV_00341,PRD_2397,WH_044,0,0.0,
INV_00342,PRD_1158,WH_079,83,21.0,2024-04-20
INV_00343,PRD_0856,WH_011,0,0.0,2024-08-15
INV_00344,PRD_0214,WH_026,152,16.0,2024-06-21
INV_00345,PRD_3276,WH_072,94,12.0,2024-08-11
INV_00346,PRD_4713,WH_069,87,17.0,2024-01-22
INV_00347,PRD_2586,WH_019,156,28.0,2024-05-24
INV_00348,PRD_2818,WH_015,166,3.0,2025-11-27
INV_00349,PRD_1301,WH_050,164,25.0,2024-02-07
INV_00350,PRD_0884,WH_069,65,15.0,2024-06-03
INV_00351,PRD_2744,WH_032,77,22.0,
INV_00352,PRD_4217,WH_053,123,9.0,2025-12-08
INV_00353,PRD_2557,WH_002,89,25.0,2024-11-20
INV_00354,PRD_1537,WH_078,135,2.0,2025-02-03
INV_00355,PRD_3613,WH_069,68,8.0,
INV_00356,PRD_1577,WH_080,149,23.0,2025-09-14
INV_00357,PRD_2766,WH_063,65,1.0,2024-02-27
INV_00358,PRD_4900,WH_080,37,6.0,2025-04-14
INV_00359,PRD_0111,WH_005,163,22.0,2025-10-25
INV_00360,PRD_4173,WH_061,27,18.0,2024-09-21
INV_00361,PRD_0197,WH_050,87,14.0,2025-07-04
INV_00362,PRD_3546,WH_043,225,17.0,2025-12-15
INV_00363,PRD_4808,WH_068,56,16.0,2025-12-03
INV_00364,PRD_1829,WH_040,62,,2025-07-27
INV_00365,PRD_0253,WH_071,250,29.0,2025-07-03
INV_00366,PRD_3069,WH_044,171,9.0,2024-02-12
INV_00367,PRD_3198,WH_073,269,,2025-06-12
INV_00368,PRD_4881,WH_076,19,,2024-03-06
INV_00369,PRD_3036,WH_035,69,1.0,2025-11-27
INV_00370,PRD_0127,WH_019,151,30.0,2024-03-11
INV_00371,PRD_1281,WH_010,58,,2025-04-16
INV_00372,PRD_3679,WH_064,58,1.0,2024-05-18
INV_00373,PRD_2833,WH_027,54,5.0,2024-02-15
INV_00374,PRD_4611,WH_064,45,6.0,
INV_00375,PRD_0775,WH_024,0,,2025-07-21
INV_00376,PRD_3481,WH_033,470,11.0,2025-08-10
INV_00377,PRD_0821,WH_032,0,0.0,2024-04-18
INV_00378,PRD_4654,WH_064,107,,2024-02-06
INV_00379,PRD_2803,WH_055,59,29.0,2024-07-12
INV_00380,PRD_4472,WH_057,31,9.0,2024-02-09
INV_00381,PRD_3799,WH_018,23,19.0,2024-09-14
INV_00382,PRD_2596,WH_028,3,0.0,2024-07-04
INV_00383,PRD_2061,WH_010,73,15.0,2025-10-15
INV_00384,PRD_1074,WH_070,42,5.0,2025-04-24
INV_00385,PRD_2830,WH_001,55,3.0,2024-06-22
INV_00386,PRD_2755,WH_047,116,12.0,2025-04-06
INV_00387,PRD_1415,WH_005,58,7.0,2025-05-04
INV_00388,PRD_3237,WH_051,157,4.0,2024-10-08
INV_00389,PRD_1730,WH_030,34,11.0,
INV_00390,PRD_1343,WH_051,151,14.0,2024-06-22
INV_00391,PRD_2297,WH_023,75,26.0,2025-06-11
INV_00392,PRD_0091,WH_039,60,25.0,2024-10-05
INV_00393,PRD_2090,WH_037,134,21.0,2024-05-22
INV_00394,PRD_0638,WH_008,208,18.0,2024-01-01
INV_00395,PRD_2581,WH_077,309,13.0,2024-08-12
INV_00396,PRD_1698,WH_002,61,7.0,2025-12-09
INV_00397,PRD_4449,WH_008,165,24.0,2025-01-13
INV_00398,PRD_0830,WH_031,0,0.0,
INV_00399,PRD_1667,WH_063,0,0.0,2024-08-12
INV_00400,PRD_2746,WH_053,62,24.0,2025-10-27
INV_00401,PRD_1262,WH_034,54,11.0,2024-09-14
INV_00402,PRD_0223,WH_026,156,19.0,2024-02-27
INV_00403,PRD_1596,WH_037,7,0.0,2025-09-03
INV_00404,PRD_3857,WH_064,29,19.0,2025-05-12
INV_00405,PRD_0834,WH_023,145,2.0,2025-05-01
INV_00406,PRD_1752,WH_013,33,29.0,2024-10-10
INV_00407,PRD_2828,WH_022,125,15.0,2025-04-25
INV_00408,PRD_0907,WH_043,31,13.0,2024-12-05
INV_00409,PRD_4781,WH_053,145,,2024-05-16
INV_00410,PRD_0483,WH_068,45,,2024-01-18
INV_00411,PRD_0085,WH_002,0,0.0,2025-09-23
INV_00412,PRD_0942,WH_051,96,17.0,2024-03-10
INV_00413,PRD_3352,WH_031,72,1.0,2025-01-25
INV_00414,PRD_3973,WH_078,78,27.0,2024-04-07
INV_00415,PRD_4177,WH_056,3,3.0,
INV_00416,PRD_2814,WH_030,184,13.0,2025-04-10
INV_00417,PRD_0031,WH_051,124,23.0,2024-02-11
INV_00418,PRD_1962,WH_037,19,19.0,2024-10-26
INV_00419,PRD_3115,WH_068,31,2.0,2024-08-08
INV_00420,PRD_2004,WH_021,0,,2024-06-20
INV_00421,PRD_4921,WH_061,28,19.0,2025-06-02
INV_00422,PRD_3822,WH_014,176,27.0,2024-11-11
INV_00423,PRD_4334,WH_056,93,,2024-05-24
INV_00424,PRD_1079,WH_059,51,29.0,2024-09-16
INV_00425,PRD_3281,WH_009,60,,2025-05-05
INV_00426,PRD_2106,WH_044,170,5.0,2024-06-08
INV_00427,PRD_3627,WH_064,154,5.0,2025-12-16
INV_00428,PRD_1977,WH_068,72,20.0,2024-01-21
INV_00429,PRD_4596,WH_056,190,29.0,2025-06-19
INV_00430,PRD_1887,WH_047,57,19.0,2024-03-02
INV_00431,PRD_4668,WH_074,165,6.0,2024-08-13
INV_00432,PRD_0303,WH_046,27,14.0,2025-07-17
INV_00433,PRD_2254,WH_044,52,4.0,2025-10-19
INV_00434,PRD_2324,WH_009,18,,2024-02-06
INV_00435,PRD_3526,WH_047,35,18.0,2024-07-07
INV_00436,PRD_3949,WH_048,78,0.0,2024-07-07
INV_00437,PRD_1763,WH_050,50,5.0,2024-02-19
INV_00438,PRD_0616,WH_078,135,28.0,2024-02-25
INV_00439,PRD_2188,WH_046,66,,2024-10-06
INV_00440,PRD_2515,WH_030,53,22.0,
INV_00441,PRD_4767,WH_014,136,7.0,2024-06-18
INV_00442,PRD_4146,WH_027,24,20.0,2024-11-04
INV_00443,PRD_4765,WH_076,193,4.0,2025-06-14
INV_00444,PRD_4262,WH_036,90,1.0,2024-02-18
INV_00445,PRD_3200,WH_068,77,27.0,2025-01-13
INV_00446,PRD_4750,WH_027,145,11.0,2024-06-07
INV_00447,PRD_2555,WH_035,1,1.0,2024-05-01
INV_00448,PRD_4459,WH_051,0,0.0,2025-10-01
INV_00449,PRD_1704,WH_004,57,13.0,2024-01-12
INV_00450,PRD_2399,WH_024,128,22.0,2024-07-03
INV_00451,PRD_1029,WH_031,97,,2025-10-03
INV_00452,PRD_2964,WH_034,0,0.0,
INV_00453,PRD_2882,WH_005,154,5.0,2024-02-08
INV_00454,PRD_2105,WH_038,97,4.0,2024-10-07
INV_00455,PRD_2307,WH_037,163,10.0,2024-02-05
INV_00456,PRD_4318,WH_052,51,7.0,2025-11-17
INV_00457,PRD_2032,WH_057,15,0.0,
INV_00458,PRD_1862,WH_005,35,21.0,2024-04-11
INV_00459,PRD_0677,WH_043,0,0.0,2025-02-10
INV_00460,PRD_2864,WH_068,148,29.0,2024-09-14
INV_00461,PRD_1030,WH_013,60,6.0,
INV_00462,PRD_0952,WH_010,160,18.0,2024-05-03
