warehouse_id,warehouse_name,city,capacity,opening_date
WH_050,Kolkata Fulfillment Center 10,Kolkata,14607,2021-05-11
WH_051,Chennai Fulfillment Center 01,Chennai,8988,2018-01-06
WH_052,Chennai Fulfillment Center 02,Chennai,14977,2023-10-05
WH_053,Chennai Fulfillment Center 03,Chennai,8038,2017-08-02
WH_054,Chennai Fulfillment Center 04,Chennai,3619,2016-05-09
WH_055,Chennai Fulfillment Center 05,Chennai,4832,2024-11-15
WH_056,Chennai Fulfillment Center 06,Chennai,12230,2018-01-05
WH_057,Chennai Fulfillment Center 07,Chennai,14219,2017-05-24
WH_058,Chennai Fulfillment Center 08,Chennai,5530,2024-02-12
WH_059,Chennai Fulfillment Center 09,Chennai,10162,2018-01-08
WH_060,Chennai Fulfillment Center 10,Chennai,5391,2021-12-08
WH_061,Lucknow Fulfillment Center 01,Lucknow,14042,2024-05-14
WH_062,Lucknow Fulfillment Center 02,Lucknow,8941,2018-05-05
WH_063,Lucknow Fulfillment Center 03,Lucknow,4898,2019-09-13
WH_064,Lucknow Fulfillment Center 04,Lucknow,3065,2024-02-08
WH_065,Lucknow Fulfillment Center 05,Lucknow,12055,2022-08-14
WH_066,Lucknow Fulfillment Center 06,Lucknow,8943,2018-06-01
WH_067,Lucknow Fulfillment Center 07,Lucknow,7142,2016-09-17
WH_068,Lucknow Fulfillment Center 08,Lucknow,3248,2022-02-14
WH_069,Lucknow Fulfillment Center 09,Lucknow,5687,2023-03-07
WH_070,Lucknow Fulfillment Center 10,Lucknow,3970,2021-06-03
WH_071,Gurgaon Fulfillment Center 01,Gurgaon,3202,2023-10-20
WH_072,Gurgaon Fulfillment Center 02,Gurgaon,7742,2016-04-07
WH_073,Gurgaon Fulfillment Center 03,Gurgaon,2922,2019-06-25
WH_074,Gurgaon Fulfillment Center 04,Gurgaon,3120,2020-11-23
WH_075,Gurgaon Fulfillment Center 05,Gurgaon,4336,2019-06-02
WH_076,Gurgaon Fulfillment Center 06,Gurgaon,6612,2016-06-06
WH_077,Gurgaon Fulfillment Center 07,Gurgaon,8028,2019-08-20
WH_078,Gurgaon Fulfillment Center 08,Gurgaon,9863,2023-05-15
WH_079,Gurgaon Fulfillment Center 09,Gurgaon,4371,2017-11-19
WH_080,Gurgaon Fulfillment Center 10,Gurgaon,8898,2019-04-26
