po_id,product_id,supplier_id,warehouse_id,order_date,expected_date,received_date,order_qty,received_qty
PO_00025,PRD_1781,SUP_067,WH_024,2022-02-11,2022-02-15,2022-02-15,181,134.0
PO_00026,PRD_2092,SUP_028,WH_026,2025-04-17,2025-04-29,,223,
PO_00027,PRD_1065,SUP_177,WH_055,2022-03-06,2022-03-07,2022-03-07,119,100.0
PO_00028,PRD_4064,SUP_169,WH_078,2024-02-21,2024-02-25,2024-02-25,226,226.0
PO_00029,PRD_4023,SUP_197,WH_006,2025-07-10,2025-07-19,2025-07-19,45,45.0
PO_00030,PRD_1980,SUP_095,WH_057,2024-02-02,2024-02-04,2024-02-04,498,498.0
PO_00031,PRD_4053,SUP_139,WH_043,2024-12-15,2024-12-16,2024-12-19,447,447.0
PO_00032,PRD_1564,SUP_140,WH_080,2025-04-14,2025-04-25,2025-04-25,408,408.0
PO_00033,PRD_1599,SUP_087,WH_050,2024-11-17,2024-11-29,2024-11-29,400,355.0
PO_00034,PRD_4254,SUP_039,WH_039,2022-12-08,2022-12-15,,226,
PO_00035,PRD_2966,SUP_021,WH_036,2022-02-21,2022-03-03,2022-03-03,456,456.0
PO_00036,PRD_4803,SUP_157,WH_070,2022-05-24,2022-05-25,2022-05-25,357,357.0
PO_00037,PRD_2969,SUP_062,WH_058,2025-08-12,2025-08-20,2025-08-20,468,468.0
PO_00038,PRD_1259,SUP_192,WH_068,2025-05-26,2025-05-28,2025-05-31,203,203.0
PO_00039,PRD_4954,SUP_092,WH_003,2022-07-20,2022-07-21,2022-07-25,205,205.0
PO_00040,PRD_2883,SUP_183,WH_014,2022-06-20,2022-07-04,,356,
PO_00041,PRD_2587,SUP_188,WH_078,2024-08-11,2024-08-20,,32,
PO_00042,PRD_4730,SUP_121,WH_041,2022-03-26,2022-03-29,2022-04-03,135,135.0
PO_00043,PRD_3657,SUP_011,WH_070,2023-09-05,2023-09-16,2023-09-16,42,42.0
PO_00044,PRD_0810,SUP_080,WH_047,2024-01-22,2024-01-23,2024-01-23,144,144.0
PO_00045,PRD_1582,SUP_098,WH_027,2023-01-06,2023-01-16,,225,
PO_00046,PRD_0579,SUP_028,WH_058,2022-08-05,2022-08-17,2022-08-17,138,138.0
PO_00047,PRD_0584,SUP_153,WH_028,2023-09-20,2023-09-24,2023-09-24,411,411.0
PO_00048,PRD_2700,SUP_095,WH_050,2025-11-25,2025-11-27,2025-11-27,346,346.0
PO_00049,PRD_3466,SUP_176,WH_013,2025-07-02,2025-07-13,2025-07-13,60,60.0
PO_00050,PRD_0415,SUP_028,WH_019,2025-05-10,2025-05-22,,326,
PO_00051,PRD_0923,SUP_187,WH_003,2025-10-02,2025-10-05,,38,
PO_00052,PRD_0168,SUP_071,WH_006,2023-12-17,2023-12-27,2023-12-31,37,37.0
PO_00053,PRD_2521,SUP_148,WH_079,2022-06-04,2022-06-07,2022-06-07,387,387.0
PO_00054,PRD_4275,SUP_024,WH_060,2023-10-20,2023-10-29,2023-11-01,473,395.0
PO_00055,PRD_0989,SUP_160,WH_017,2022-05-27,2022-06-01,2022-06-01,169,169.0
PO_00056,PRD_0438,SUP_059,WH_054,2025-04-19,2025-04-22,2025-04-24,432,432.0
PO_00057,PRD_0023,SUP_185,WH_043,2023-06-09,2023-06-23,2023-06-23,224,224.0
PO_00058,PRD_3139,SUP_156,WH_077,2024-09-22,2024-09-24,2024-09-30,453,453.0
PO_00059,PRD_3832,SUP_024,WH_074,2024-02-17,2024-02-26,2024-02-26,400,400.0
PO_00060,PRD_4080,SUP_197,WH_037,2023-12-08,2023-12-17,2023-12-17,435,435.0
PO_00061,PRD_1535,SUP_125,WH_023,2024-06-08,2024-06-12,2024-06-12,393,393.0
PO_00062,PRD_3898,SUP_027,WH_041,2023-08-19,2023-08-31,2023-09-07,66,57.0
PO_00063,PRD_2851,SUP_149,WH_021,2023-04-23,2023-04-30,2023-04-30,410,410.0
PO_00064,PRD_1691,SUP_123,WH_069,2022-02-27,2022-03-11,2022-03-11,469,469.0
PO_00065,PRD_0216,SUP_012,WH_057,2023-09-07,2023-09-20,2023-09-20,169,169.0
PO_00066,PRD_0795,SUP_111,WH_040,2022-08-12,2022-08-14,2022-08-14,229,229.0
PO_00067,PRD_4987,SUP_136,WH_035,2025-03-16,2025-03-23,,147,
PO_00068,PRD_0943,SUP_177,WH_076,2023-01-12,2023-01-13,2023-01-13,43,43.0
PO_00069,PRD_2214,SUP_176,WH_041,2023-11-11,2023-11-22,2023-11-22,124,124.0
PO_00070,PRD_3149,SUP_078,WH_023,2023-09-21,2023-09-22,2023-09-22,59,59.0
PO_00071,PRD_4530,SUP_102,WH_036,2022-01-12,2022-01-19,2022-01-23,84,84.0
PO_00072,PRD_1156,SUP_173,WH_064,2023-01-12,2023-01-13,2023-01-13,472,472.0
PO_00073,PRD_2907,SUP_089,WH_058,2023-04-24,2023-05-01,2023-05-01,254,254.0
PO_00074,PRD_3392,SUP_176,WH_068,2023-02-19,2023-03-02,2023-03-02,133,133.0
PO_00075,PRD_0482,SUP_171,WH_042,2025-05-15,2025-05-21,,156,
PO_00076,PRD_0900,SUP_184,WH_070,2024-08-23,2024-08-26,2024-08-28,302,188.0
PO_00077,PRD_0972,SUP_111,WH_004,2022-11-21,2022-11-23,,262,
PO_00078,PRD_1569,SUP_087,WH_012,2025-07-01,2025-07-13,2025-07-13,86,86.0
PO_00079,PRD_1070,SUP_122,WH_003,2025-07-13,2025-07-17,2025-07-17,55,55.0
PO_00080,PRD_2244,SUP_174,WH_036,2024-10-10,2024-10-18,2024-10-18,313,313.0
PO_00081,PRD_3520,SUP_139,WH_010,2025-07-08,2025-07-09,2025-07-09,289,289.0
PO_00082,PRD_3762,SUP_172,WH_049,2025-07-18,2025-07-26,2025-07-26,443,443.0
PO_00083,PRD_2728,SUP_057,WH_007,2022-09-22,2022-09-27,2022-09-27,258,258.0
PO_00084,PRD_0013,SUP_024,WH_011,2025-09-17,2025-09-26,2025-09-29,151,151.0
PO_00085,PRD_3048,SUP_164,WH_044,2022-04-13,2022-04-22,2022-04-22,386,386.0
PO_00086,PRD_3781,SUP_027,WH_048,2022-01-03,2022-01-15,2022-01-15,60,60.0
PO_00087,PRD_3235,SUP_030,WH_047,2025-07-21,2025-08-02,2025-08-02,62,62.0
PO_00088,PRD_1141,SUP_194,WH_076,2023-04-21,2023-04-27,2023-04-27,171,171.0
PO_00089,PRD_2465,SUP_167,WH_011,2022-10-18,2022-10-21,2022-10-21,191,191.0
PO_00090,PRD_3549,SUP_113,WH_067,2024-05-12,2024-05-18,2024-05-18,238,147.0
PO_00091,PRD_1245,SUP_139,WH_031,2022-03-01,2022-03-02,2022-03-02,178,178.0
PO_00092,PRD_2433,SUP_097,WH_055,2024-02-10,2024-02-22,2024-02-22,330,330.0
PO_00093,PRD_2545,SUP_175,WH_063,2025-03-19,2025-03-23,2025-03-23,484,484.0
PO_00094,PRD_0801,SUP_076,WH_049,2024-12-08,2024-12-10,2024-12-10,67,67.0
PO_00095,PRD_3792,SUP_133,WH_029,2025-11-16,2025-11-25,2025-11-25,455,455.0
PO_00096,PRD_2638,SUP_105,WH_027,2022-04-10,2022-04-21,2022-04-21,392,392.0
PO_00097,PRD_1351,SUP_062,WH_070,2024-06-09,2024-06-17,2024-06-17,172,172.0
PO_00098,PRD_4327,SUP_128,WH_009,2025-10-18,2025-10-21,2025-10-21,447,447.0
PO_00099,PRD_1221,SUP_055,WH_075,2023-10-17,2023-10-26,2023-10-28,63,63.0
PO_00100,PRD_3096,SUP_048,WH_015,2023-06-11,2023-06-24,2023-06-24,481,397.0
PO_00101,PRD_0914,SUP_105,WH_007,2023-01-17,2023-01-28,2023-01-28,484,417.0
PO_00102,PRD_4948,SUP_178,WH_007,2023-10-14,2023-10-22,,244,
PO_00103,PRD_1805,SUP_117,WH_056,2023-02-20,2023-03-04,2023-03-04,243,243.0
PO_00104,PRD_2717,SUP_172,WH_074,2024-04-05,2024-04-13,,295,
PO_00105,PRD_0481,SUP_140,WH_035,2024-03-04,2024-03-15,2024-03-22,345,345.0
PO_00106,PRD_4704,SUP_082,WH_061,2025-08-15,2025-08-16,2025-08-16,121,121.0
PO_00107,PRD_1661,SUP_002,WH_014,2022-08-06,2022-08-07,,132,
PO_00108,PRD_4870,SUP_043,WH_074,2025-11-01,2025-11-10,2025-11-10,481,481.0
PO_00109,PRD_0265,SUP_042,WH_073,2022-10-10,2022-10-11,2022-10-11,361,361.0
PO_00110,PRD_0399,SUP_193,WH_071,2025-09-04,2025-09-06,2025-09-06,446,446.0
PO_00111,PRD_0568,SUP_199,WH_020,2024-09-12,2024-09-13,2024-09-21,256,256.0
PO_00112,PRD_4189,SUP_156,WH_029,2025-08-01,2025-08-03,2025-08-09,173,173.0
PO_00113,PRD_4015,SUP_001,WH_070,2024-09-24,2024-10-01,2024-10-01,373,373.0
PO_00114,PRD_3706,SUP_148,WH_073,2022-11-04,2022-11-07,2022-11-07,91,91.0
PO_00115,PRD_1255,SUP_161,WH_033,2022-12-03,2022-12-08,2022-12-08,236,236.0
PO_00116,PRD_3304,SUP_140,WH_068,2024-01-23,2024-02-03,,443,
PO_00117,PRD_3209,SUP_051,WH_069,2023-04-04,2023-04-11,2023-04-11,474,474.0
PO_00118,PRD_3662,SUP_037,WH_033,2024-10-06,2024-10-18,2024-10-18,242,242.0
PO_00119,PRD_1920,SUP_067,WH_002,2025-05-10,2025-05-14,2025-05-14,103,103.0
PO_00120,PRD_4669,SUP_099,WH_057,2022-04-06,2022-04-12,2022-04-15,274,274.0
PO_00121,PRD_3999,SUP_160,WH_043,2023-07-09,2023-07-14,2023-07-14,159,159.0
PO_00122,PRD_0948,SUP_081,WH_025,2024-11-26,2024-12-04,2024-12-04,69,69.0
PO_00123,PRD_1771,SUP_035,WH_050,2024-02-16,2024-02-26,2024-02-26,60,51.0
PO_00124,PRD_0720,SUP_176,WH_009,2025-01-13,2025-01-24,2025-01-24,439,439.0
PO_00125,PRD_4276,SUP_063,WH_009,2022-12-02,2022-12-13,2022-12-13,388,388.0
PO_00126,PRD_4381,SUP_097,WH_024,2024-02-26,2024-03-09,2024-03-09,217,217.0
PO_00127,PRD_3324,SUP_009,WH_040,2022-12-01,2022-12-08,2022-12-08,354,354.0
PO_00128,PRD_0976,SUP_187,WH_031,2024-12-10,2024-12-13,2024-12-13,409,409.0
PO_00129,PRD_2672,SUP_091,WH_008,2022-06-08,2022-06-09,,281,
PO_00130,PRD_4653,SUP_018,WH_036,2024-05-27,2024-06-02,,487,
PO_00131,PRD_1374,SUP_017,WH_028,2022-11-09,2022-11-12,2022-11-12,497,497.0
PO_00132,PRD_4670,SUP_082,WH_053,2023-11-06,2023-11-07,2023-11-07,456,456.0
PO_00133,PRD_4413,SUP_035,WH_011,2024-11-24,2024-12-04,2024-12-04,216,197.0
PO_00134,PRD_0514,SUP_153,WH_047,2025-08-25,2025-08-29,2025-09-05,251,251.0
PO_00135,PRD_1977,SUP_011,WH_049,2024-09-15,2024-09-26,2024-09-26,300,300.0
PO_00136,PRD_0216,SUP_012,WH_036,2025-07-23,2025-08-05,2025-08-05,20,20.0
PO_00137,PRD_2490,SUP_055,WH_056,2024-07-15,2024-07-24,2024-07-24,253,253.0
PO_00138,PRD_2145,SUP_200,WH_008,2023-12-17,2023-12-21,2023-12-21,221,221.0
PO_00139,PRD_4476,SUP_119,WH_009,2022-10-08,2022-10-14,2022-10-14,76,76.0
PO_00140,PRD_1825,SUP_047,WH_079,2024-11-18,2024-11-22,,448,
PO_00141,PRD_2089,SUP_056,WH_020,2025-11-23,2025-12-07,2025-12-07,417,417.0
PO_00142,PRD_0763,SUP_001,WH_010,2025-11-13,2025-11-20,2025-11-20,483,483.0
PO_00143,PRD_3556,SUP_069,WH_069,2022-08-12,2022-08-26,2022-08-26,284,182.0
PO_00144,PRD_4101,SUP_156,WH_055,2022-08-18,2022-08-20,2022-08-20,331,294.0
PO_00145,PRD_3464,SUP_009,WH_067,2024-02-24,2024-03-02,2024-03-06,123,123.0
PO_00146,PRD_2388,SUP_080,WH_040,2025-05-09,2025-05-10,2025-05-10,36,36.0
PO_00147,PRD_3496,SUP_079,WH_050,2022-05-14,2022-05-19,2022-05-20,496,496.0
PO_00148,PRD_3823,SUP_042,WH_020,2024-06-20,2024-06-21,,436,
PO_00149,PRD_4992,SUP_008,WH_036,2022-10-12,2022-10-19,2022-10-25,371,291.0
PO_00150,PRD_3841,SUP_042,WH_007,2024-07-07,2024-07-08,2024-07-08,460,295.0
PO_00151,PRD_4251,SUP_127,WH_045,2025-05-12,2025-05-22,2025-05-22,305,305.0
PO_00152,PRD_0096,SUP_126,WH_033,2022-02-20,2022-02-23,2022-02-23,252,252.0
PO_00153,PRD_4829,SUP_047,WH_042,2023-06-23,2023-06-27,2023-06-27,344,328.0
PO_00154,PRD_0056,SUP_155,WH_005,2024-02-07,2024-02-08,2024-02-08,232,232.0
PO_00155,PRD_2995,SUP_142,WH_009,2022-04-09,2022-04-18,2022-04-18,370,370.0
PO_00156,PRD_3389,SUP_177,WH_012,2025-11-07,2025-11-08,2025-11-08,168,168.0
PO_00157,PRD_4988,SUP_062,WH_056,2022-12-21,2022-12-29,,34,
PO_00158,PRD_1459,SUP_105,WH_020,2025-04-12,2025-04-23,2025-04-23,472,472.0
PO_00159,PRD_3836,SUP_148,WH_054,2025-05-14,2025-05-17,2025-05-17,407,407.0
PO_00160,PRD_4998,SUP_092,WH_035,2024-04-22,2024-04-23,2024-04-23,452,452.0
PO_00161,PRD_4146,SUP_142,WH_028,2025-01-06,2025-01-15,2025-01-23,59,59.0
PO_00162,PRD_4908,SUP_106,WH_074,2025-08-14,2025-08-15,2025-08-20,149,135.0
PO_00163,PRD_3306,SUP_105,WH_030,2023-03-14,2023-03-25,2023-03-30,346,346.0
PO_00164,PRD_1097,SUP_163,WH_019,2022-01-24,2022-01-31,2022-01-31,135,135.0
PO_00165,PRD_3879,SUP_196,WH_008,2022-10-11,2022-10-24,,232,
PO_00166,PRD_4355,SUP_058,WH_042,2025-01-21,2025-01-22,2025-01-22,76,76.0
PO_00167,PRD_1356,SUP_020,WH_055,2025-08-06,2025-08-08,2025-08-08,191,191.0
PO_00168,PRD_2953,SUP_116,WH_048,2022-04-06,2022-04-15,2022-04-15,470,470.0
PO_00169,PRD_2098,SUP_095,WH_069,2023-09-21,2023-09-23,2023-09-23,46,44.0
PO_00170,PRD_4282,SUP_130,WH_001,2022-06-24,2022-06-28,2022-07-03,115,115.0
PO_00171,PRD_2777,SUP_063,WH_062,2024-12-02,2024-12-13,2024-12-13,112,112.0
PO_00172,PRD_0817,SUP_032,WH_048,2024-05-27,2024-06-10,2024-06-10,261,247.0
PO_00173,PRD_4471,SUP_031,WH_047,2023-11-07,2023-11-11,2023-11-11,259,259.0
PO_00174,PRD_2036,SUP_052,WH_021,2025-03-11,2025-03-17,2025-03-17,103,103.0
PO_00175,PRD_2963,SUP_088,WH_002,2025-06-19,2025-06-25,2025-06-25,446,446.0
PO_00176,PRD_4055,SUP_080,WH_032,2023-09-12,2023-09-13,2023-09-18,131,131.0
PO_00177,PRD_1367,SUP_074,WH_041,2023-10-02,2023-10-16,2023-10-19,305,305.0
PO_00178,PRD_1806,SUP_119,WH_019,2024-04-25,2024-05-01,2024-05-01,428,428.0
PO_00179,PRD_1186,SUP_131,WH_013,2025-06-10,2025-06-17,2025-06-17,48,48.0
PO_00180,PRD_3954,SUP_027,WH_074,2022-07-05,2022-07-17,2022-07-17,192,192.0
PO_00181,PRD_3582,SUP_127,WH_022,2022-09-23,2022-10-03,2022-10-03,450,450.0
PO_00182,PRD_1825,SUP_047,WH_048,2025-01-20,2025-01-24,2025-01-30,239,239.0
PO_00183,PRD_2122,SUP_186,WH_042,2024-01-10,2024-01-19,2024-01-19,311,311.0
PO_00184,PRD_0363,SUP_046,WH_040,2024-02-12,2024-02-21,2024-02-21,402,247.0
PO_00185,PRD_2398,SUP_145,WH_006,2024-06-09,2024-06-16,2024-06-16,270,270.0
PO_00186,PRD_1305,SUP_143,WH_067,2023-06-13,2023-06-22,2023-06-22,222,222.0
PO_00187,PRD_2846,SUP_089,WH_067,2023-06-19,2023-06-26,2023-06-26,25,23.0
PO_00188,PRD_1551,SUP_123,WH_058,2023-12-11,2023-12-23,2023-12-25,214,214.0
PO_00189,PRD_1289,SUP_164,WH_047,2025-03-15,2025-03-24,2025-03-24,207,207.0
PO_00190,PRD_1783,SUP_120,WH_049,2024-05-05,2024-05-18,2024-05-20,277,203.0
PO_00191,PRD_2885,SUP_135,WH_069,2023-06-07,2023-06-15,2023-06-20,499,499.0
PO_00192,PRD_3425,SUP_051,WH_019,2025-10-20,2025-10-27,2025-10-27,304,304.0
PO_00193,PRD_0678,SUP_008,WH_053,2024-01-20,2024-01-27,2024-01-27,70,70.0
PO_00194,PRD_0165,SUP_126,WH_009,2025-05-23,2025-05-26,2025-05-29,134,134.0
PO_00195,PRD_1112,SUP_044,WH_058,2024-06-26,2024-07-07,2024-07-07,199,199.0
PO_00196,PRD_1762,SUP_152,WH_039,2025-03-05,2025-03-14,2025-03-14,308,308.0
PO_00197,PRD_2340,SUP_095,WH_057,2023-01-24,2023-01-26,2023-01-26,179,179.0
PO_00198,PRD_3111,SUP_142,WH_070,2024-01-06,2024-01-15,2024-01-15,277,277.0
PO_00199,PRD_1733,SUP_035,WH_063,2025-01-10,2025-01-20,2025-01-25,248,248.0
PO_00200,PRD_4835,SUP_076,WH_076,2023-12-05,2023-12-07,2023-12-07,241,158.0
PO_00201,PRD_0255,SUP_058,WH_043,2024-04-18,2024-04-19,,336,
PO_00202,PRD_2034,SUP_006,WH_065,2024-05-27,2024-06-10,2024-06-15,185,185.0
PO_00203,PRD_4512,SUP_018,WH_010,2025-09-11,2025-09-17,2025-09-17,141,141.0
PO_00204,PRD_1827,SUP_084,WH_079,2025-07-25,2025-07-26,2025-07-26,175,175.0
PO_00205,PRD_3711,SUP_007,WH_047,2024-12-27,2025-01-01,2025-01-01,219,219.0
PO_00206,PRD_3988,SUP_023,WH_050,2025-03-01,2025-03-15,2025-03-15,384,384.0
PO_00207,PRD_0933,SUP_187,WH_021,2025-04-25,2025-04-28,2025-04-28,48,48.0
PO_00208,PRD_1268,SUP_020,WH_022,2025-06-03,2025-06-05,2025-06-12,278,278.0
PO_00209,PRD_1684,SUP_138,WH_036,2023-05-03,2023-05-11,2023-05-11,319,319.0
PO_00210,PRD_2203,SUP_089,WH_017,2025-01-11,2025-01-18,2025-01-18,188,188.0
PO_00211,PRD_3168,SUP_039,WH_016,2024-12-05,2024-12-12,2024-12-20,190,176.0
PO_00212,PRD_0616,SUP_187,WH_072,2024-10-09,2024-10-12,2024-10-12,103,103.0
PO_00213,PRD_0364,SUP_159,WH_056,2022-12-11,2022-12-23,2022-12-23,232,232.0
PO_00214,PRD_1659,SUP_008,WH_078,2024-07-15,2024-07-22,2024-07-22,228,228.0
PO_00215,PRD_0303,SUP_175,WH_050,2025-03-20,2025-03-24,2025-03-24,333,333.0
PO_00216,PRD_4250,SUP_127,WH_020,2024-04-11,2024-04-21,2024-04-21,266,252.0
PO_00217,PRD_1194,SUP_162,WH_075,2025-07-20,2025-07-31,2025-07-31,105,105.0
PO_00218,PRD_0121,SUP_164,WH_040,2025-10-14,2025-10-23,2025-10-23,183,183.0
PO_00219,PRD_3058,SUP_048,WH_064,2022-01-23,2022-02-05,2022-02-05,389,323.0
PO_00220,PRD_0469,SUP_020,WH_032,2022-03-08,2022-03-10,2022-03-10,37,37.0
PO_00221,PRD_0103,SUP_040,WH_047,2023-04-06,2023-04-20,2023-04-20,77,77.0
PO_00222,PRD_3402,SUP_105,WH_023,2024-02-25,2024-03-07,2024-03-07,399,352.0
PO_00223,PRD_4762,SUP_045,WH_050,2022-07-27,2022-08-10,2022-08-10,214,200.0
PO_00224,PRD_1756,SUP_165,WH_041,2023-02-23,2023-03-04,2023-03-08,103,103.0
PO_00225,PRD_4772,SUP_077,WH_001,2024-05-17,2024-05-20,2024-05-20,406,406.0
PO_00226,PRD_4215,SUP_062,WH_067,2024-09-09,2024-09-17,2024-09-17,170,170.0
PO_00227,PRD_4304,SUP_031,WH_009,2022-04-09,2022-04-13,2022-04-18,473,473.0
PO_00228,PRD_3772,SUP_167,WH_013,2023-02-03,2023-02-06,2023-02-06,298,298.0
PO_00229,PRD_1674,SUP_125,WH_052,2024-04-07,2024-04-11,2024-04-15,208,208.0
PO_00230,PRD_3392,SUP_176,WH_066,2025-05-17,2025-05-28,2025-05-29,262,262.0
PO_00231,PRD_4575,SUP_112,WH_065,2025-12-21,2025-12-27,2025-12-27,34,34.0
PO_00232,PRD_2229,SUP_031,WH_027,2023-10-15,2023-10-19,2023-10-19,478,478.0
PO_00233,PRD_0926,SUP_054,WH_026,2025-01-14,2025-01-25,2025-01-29,174,174.0
PO_00234,PRD_4050,SUP_200,WH_064,2023-08-20,2023-08-24,2023-08-24,149,149.0
PO_00235,PRD_4580,SUP_087,WH_029,2025-01-24,2025-02-05,2025-02-05,156,111.0
PO_00236,PRD_4812,SUP_044,WH_010,2023-08-09,2023-08-20,2023-08-20,147,147.0
PO_00237,PRD_2494,SUP_098,WH_030,2025-08-14,2025-08-24,2025-08-24,453,453.0
PO_00238,PRD_1972,SUP_120,WH_006,2023-10-20,2023-11-02,2023-11-02,212,212.0
PO_00239,PRD_4670,SUP_082,WH_063,2025-03-20,2025-03-21,2025-03-21,351,351.0
PO_00240,PRD_4200,SUP_069,WH_034,2023-12-07,2023-12-21,2023-12-23,432,432.0
PO_00241,PRD_4556,SUP_020,WH_005,2024-07-23,2024-07-25,2024-07-30,96,96.0
PO_00242,PRD_3871,SUP_011,WH_036,2024-09-20,2024-10-01,2024-10-01,359,359.0
PO_00243,PRD_1872,SUP_160,WH_014,2022-11-06,2022-11-11,2022-11-18,217,217.0
PO_00244,PRD_2923,SUP_189,WH_080,2022-10-26,2022-11-08,2022-11-08,141,141.0
PO_00245,PRD_0061,SUP_109,WH_028,2022-05-18,2022-05-23,,404,
PO_00246,PRD_0470,SUP_159,WH_017,2023-02-12,2023-02-24,2023-02-24,212,150.0
PO_00247,PRD_0592,SUP_198,WH_063,2024-10-14,2024-10-18,2024-10-18,417,417.0
PO_00248,PRD_0139,SUP_073,WH_040,2023-12-24,2024-01-05,2024-01-11,179,179.0
PO_00249,PRD_1152,SUP_127,WH_064,2022-07-19,2022-07-29,2022-07-29,236,236.0
PO_00250,PRD_4518,SUP_125,WH_012,2022-04-02,2022-04-06,,221,
PO_00251,PRD_0651,SUP_156,WH_069,2024-09-21,2024-09-23,2024-09-23,430,430.0
PO_00252,PRD_0199,SUP_184,WH_054,2024-12-08,2024-12-11,2024-12-14,124,124.0
PO_00253,PRD_0954,SUP_130,WH_049,2022-11-19,2022-11-23,2022-11-23,138,138.0
PO_00254,PRD_1372,SUP_061,WH_051,2023-02-14,2023-02-26,2023-03-02,375,375.0
PO_00255,PRD_0844,SUP_184,WH_002,2024-02-24,2024-02-27,2024-02-27,107,107.0
PO_00256,PRD_0349,SUP_091,WH_003,2022-06-04,2022-06-05,2022-06-05,245,245.0
PO_00257,PRD_3766,SUP_150,WH_078,2024-03-19,2024-03-31,2024-03-31,387,387.0
PO_00258,PRD_2654,SUP_148,WH_009,2025-03-20,2025-03-23,2025-03-23,378,378.0
PO_00259,PRD_1392,SUP_144,WH_020,2022-10-15,2022-10-17,2022-10-25,487,487.0
PO_00260,PRD_0616,SUP_187,WH_028,2022-07-26,2022-07-29,2022-07-29,329,329.0
PO_00261,PRD_1447,SUP_105,WH_004,2025-10-25,2025-11-05,2025-11-05,203,203.0
PO_00262,PRD_4588,SUP_061,WH_012,2023-03-06,2023-03-18,2023-03-18,72,72.0
PO_00263,PRD_0613,SUP_012,WH_036,2023-02-21,2023-03-06,2023-03-06,104,104.0
PO_00264,PRD_1936,SUP_122,WH_052,2022-10-27,2022-10-31,2022-11-01,374,374.0
PO_00265,PRD_1171,SUP_057,WH_063,2025-10-03,2025-10-08,2025-10-14,361,361.0
PO_00266,PRD_2313,SUP_027,WH_047,2023-07-25,2023-08-06,2023-08-14,444,444.0
PO_00267,PRD_4518,SUP_125,WH_001,2023-05-24,2023-05-28,2023-05-28,499,499.0
PO_00268,PRD_1677,SUP_104,WH_045,2022-01-17,2022-01-25,2022-01-25,110,110.0
PO_00269,PRD_2969,SUP_062,WH_004,2022-05-07,2022-05-15,2022-05-16,48,48.0
PO_00270,PRD_1536,SUP_104,WH_054,2022-03-01,2022-03-09,2022-03-17,118,118.0
PO_00271,PRD_0293,SUP_095,WH_040,2025-07-21,2025-07-23,2025-07-23,478,478.0
PO_00272,PRD_3096,SUP_048,WH_016,2023-12-15,2023-12-28,2023-12-28,204,166.0
PO_00273,PRD_2976,SUP_016,WH_010,2025-06-05,2025-06-16,2025-06-16,329,329.0
PO_00274,PRD_0824,SUP_185,WH_027,2024-04-19,2024-05-03,2024-05-03,194,152.0
PO_00275,PRD_4848,SUP_098,WH_051,2023-11-18,2023-11-28,2023-11-28,189,160.0
PO_00276,PRD_4805,SUP_076,WH_020,2025-03-23,2025-03-25,2025-03-25,440,278.0
PO_00277,PRD_2535,SUP_063,WH_012,2023-11-23,2023-12-04,2023-12-04,469,469.0
